948.15 375.04
621.94 799.13
284.01 428.3
454.51 493.42
521.93 493.24
206.27 408.28
633.63 188.48
679.25 338.27
216.5 663.47
730.58 565.26
506.58 614.52
96.65 624.68
83.86 526.38
186.62 454.94
308.45 532.7
749.32 580.19
861.57 624.47
296.88 752.37
812.59 610.58
701.25 745.11
500.56 673.82
755.12 280.47
431.29 464.92
453.57 533.83
319.38 472.49
553.12 86.67
732.54 190.47
897.92 488.17
230.99 161.29
542.44 863.34
596.55 88.93
165.2 469.13
663.84 358.84
692.65 494.06
687.46 722.86
653.68 689.17
328.68 156.1
473.46 166.51
647.94 101.47
109.41 305.64
294.69 119.63
581.32 881.59
228.34 582.66
678.76 303.72
284.04 441.08
209.91 147.89
256.23 855.04
405.41 864.59
309.79 170.05
283.52 137.64
674.95 908.69
419.2 504.07
359.14 565.05
851.74 575.85
497.09 791.19
647.02 469.44
136.78 749.11
547.11 33.45
459.49 836.15
384.14 160.53
362.93 388.07
549.61 589.86
770.29 175.82
492.11 609.3
85.24 362.56
805.44 402.08
37.58 588.21
211.83 141.85
910.28 350.63
740.04 460.46
603.78 212.23
763.18 740.23
247.75 102.52
212.56 864.89
697.9 926.21
165.62 189.4
555.93 84.44
36.68 514.73
734.12 279.43
680.38 557.08
197.55 580.52
805.2 610.49
714.84 823.42
173.04 770.99
320.44 513.11
890.22 695.39
705.74 460.59
298.99 161.87
319.35 524.28
407.48 89.69
555.38 487.17
147.92 747.18
822.5 695.64
656.33 641.83
405.9 102.57
193.76 334.15
702.57 482.38
863.34 735.5
883.11 761.8
553.58 578.81
837.09 779.81
385.33 311.29
823.02 474.53
528 157.54
584.28 919.4
446.49 583.54
811.06 725.91
736.84 344.71
869.14 460.55
116.43 440.63
594.1 637.84
210.15 561.17
847.19 504.81
602.92 277.78
860.56 645.74
740.93 713.43
709.86 109.01
409.53 565.08
361.25 277.26
874.84 683.16
124.49 537.25
741.54 296.73
271.19 157.05
847.01 573.63
805.93 727.07
938.23 466.87
200.29 803
761.56 500.29
69.94 308.53
202.46 320.02
735.62 462.97
287.42 190.89
605.27 312.69
300.33 211.55
718.38 279.31
929.65 453.75
332.38 837
530.81 729.24
627.43 718.83
521.23 277.66
321.76 721.03
495.71 726.43
768.33 528.98
260.63 744.1
749.9 742.76
906.03 518.17
773.92 658.01
191.69 676.75
193.85 154.18
311.32 173.71
965.09 509.96
495.62 408.31
426.1 329.29
904.36 337.08
375.26 85.36
912.53 273.21
112.31 433.03
520.68 691.27
600.15 617.57
764.61 873.32
533.28 431.04
609 814.33
130.89 375.23
438.12 123.91
413.62 290.11
367.05 578.14
489.43 507.64
482.13 848.72
310.1 754.05
169.56 514.24
556.69 35.8
564.71 873.17
691.48 69.94
777.73 402.02
192.05 274.3
382.03 908.66
398.97 866.05
864.5 260.26
164.71 574.88
816.43 209.33
263.28 329.94
784.69 287.15
49.23 561.33
783.65 354.05
547.78 479.29
654.38 935.21
243.81 537.46
457.69 930.42
352.55 892.54
652.52 141.06
479.2 817.5
725.79 245.46
349.77 747.73
512.22 809.35
150.7 264.69
292.86 116.67
281.62 517.9
788.48 476.42
326 151.37
549.46 487.87
896.48 302.35
299.26 88.44
785.7 551.56
468.34 288.31
843.99 788.2
195.2 788.29
782.71 726.31
361.74 745.35
273.6 787.01
312.6 138.62
874.98 784.62
579.82 550.07
237.1 685.2
277.47 714.99
440.14 597.13
676.93 619.65
776.71 119.15
524.43 121.43
651.08 170.6
306.28 96.8
344.92 497.15
357.71 703.79
500.35 724.11
557.15 286.81
449.63 576.37
673.67 451.09
612.6 121.92
326.06 784.42
437.67 85.73
633.11 307.96
405.35 257.27
435.96 69.58
892.11 760.52
371.2 250.53
361.52 494.61
811.03 633.99
589.07 912.53
484.02 170.93
473.25 328.44
570.12 802.51
579.55 67.6
453.87 609.64
48.16 566.67
864.96 387.89
692.65 395.89
485.09 778.19
